(\a.(\b.b)(\b.b))((\a.aa)(\a.aa)),1,4,6
(\a.aa)(\a.a)((\a.aa)(\a.aa)),4,4,7
(\a.(\b.a)(\b.b))((\a.aa)(\a.aa)),3,4,8
(\a.a)(\a.a)(\a.aa)((\a.aa)(\a.aa)),1,4,8
(\a.a)((\a.a)(\a.a))((\a.aa)(\a.aa)),1,4,8
(\ab.b)((\a.a)(\a.a))((\a.aa)(\a.aa)),1,4,8
(\a.(\b.a)a)((\a.aa)(\a.aa)),2,4,9
(\a.(\b.a)(aa))((\a.aa)(\a.aa)),1,4,10
(\a.(\b.b)(aa))((\a.aa)(\a.aa)),1,4,10
(\a.aaa)(\ab.ba),22,5,4
(\ab.ab)((\a.a)(\a.a)),25,5,5
(\a.a(aa))(\ab.a),3,5,5
(\a.a(\b.a))(\a.a(aa)),1,5,5
(\a.a(\b.b))(\a.a(aa)),1,5,5
\a.(\b.b)(\b.a)((\b.a)a),108,5,6
(\ab.ab)(\a.(\b.b)a),32,5,6
(\a.(\b.a)(aa))(\a.a),8,5,6
(\a.aa(aa))(\ab.bb),1,5,7
(\a.(\b.b)a)((\a.a)(\a.a)),4,5,8
(\ab.b)((\ab.a)((\a.a)(\a.a))),4,5,8
(\a.aa)(\a.aa)((\a.a)(\a.a)((\a.a)(\a.a))),1,5,11
(\a.aaa)(\a.a(\b.b)),6,6,5
(\a.aaa)(\ab.ab),3,6,6
(\a.a(\b.b))((\a.a)(\a.aa)),1,6,6
(\ab.ab)(\a.(\b.a)a),164,6,7
(\a.a)(\a.a)((\a.a)(\a.a))(\a.a),18,6,7
\a.(\b.bb)((\b.a)a),6,6,7
(\a.aa(aa))(\ab.a),3,6,7
(\a.aa(aa))(\a.a),1,6,7
(\a.(\b.a)(aa))(\ab.ab),1,6,8
(\a.a)((\ab.b)((\a.a)(\a.a))),24,6,9
(\a.(\b.b)a)(\a.(\b.a)a),19,6,9
(\ab.aa)((\a.a)(\a.aa)),3,6,9
(\ab.b)((\a.a)(\a.a)((\a.a)(\a.a))),4,6,11
(\ab.a)((\a.a)(\a.a))((\a.aa)(\a.aa)),1,6,11
(\a.a)(\a.a)((\a.a)(\a.a))((\a.aa)(\a.aa)),1,6,13
(\a.a(\b.a))(\a.aa(\b.a)),6,7,6
(\ab.ab)((\a.aa)(\a.a)),13,7,8
(\a.aa(aa))(\ab.b),2,7,8
(\a.a(\b.b))(\a.aa(aa)),1,7,8
(\a.aa)(\ab.a)(\a.(\b.a)a),40,7,9
(\a.aa)((\a.a)(\ab.b)),16,7,9
(\a.aa)(\a.a)((\a.a)(\a.a)),13,7,9
(\a.aa)((\a.a)(\a.a)),3,7,9
(\a.a(\b.b))(\a.(\b.a)(aa)),1,7,9
(\a.a)(\ab.b)((\a.aa)(\a.a)),35,7,10
(\a.a)(\a.a)((\a.a)(\a.a)(\a.a)),4,7,10
(\ab.ab)((\a.a)((\a.a)(\a.a))),2,7,10
(\ab.ab)((\ab.b)((\a.a)(\a.a))),2,7,10
(\a.(\b.a)(aa))(\a.a(\b.a)),2,7,10
(\a.(\b.a)(\b.b))((\a.a)(\a.a)),5,7,11
(\a.a)((\a.a)(\a.a))((\a.a)(\a.a)),4,7,11
(\ab.b)((\a.a)(\a.a))((\a.a)(\a.a)),4,7,11
(\a.a)(\a.a)((\a.a)((\a.a)(\a.a))),5,7,12
(\a.a)(\ab.b)((\a.a)((\a.a)(\a.a))),5,7,12
(\a.a)(\ab.b)((\ab.b)((\a.a)(\a.a))),5,7,12
(\a.(\b.b)a)((\a.a)((\a.a)(\a.a))),1,7,15
(\a.aa)(\a.aa)((\a.aa)((\a.a)(\a.a))),1,7,16
(\a.aaa)(\a.a(\b.a)),1,8,7
(\a.a(\b.b))((\a.a)(\a.a)(\a.aa)),1,8,9
(\a.(\b.b)(aa))(\ab.ab),69,8,10
(\a.aa)((\a.a)(\a.a))(\a.a),19,8,10
(\a.aa)((\a.a)(\ab.a)),16,8,10
(\a.aa(\b.b))((\a.a)(\ab.b)),4,8,10
(\a.a(aa))(\ab.ab),1,8,10
(\a.a)(\a.a)((\a.aa)(\a.a)),21,8,11
(\a.a)((\ab.a)((\a.a)(\a.a))),39,8,12
(\a.a)((\a.a)(\a.a))(\a.(\b.a)a),16,8,12
(\ab.b)((\a.a)(\a.a))(\a.(\b.a)a),16,8,12
(\a.aa)(\a.(\b.b)a),3,8,12
